2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
331,51,84,48,640323,220410,32304,30413,17408,30343,29364,14585
332,51,84,48,496702,18666,4226,2804,20665,7743,1317,784
333,51,84,48,697529,60813,14470,11951,19955,13288,2876,862
334,51,84,48,723700,86404,79509,42666,77489,56676,18192,7503
335,51,84,48,597472,14287,19049,5030,7334,4954,2683,1262
336,26,84,48,1153941,68943,50887,5852,35377,13761,3990,1623
337,26,84,48,470933,216063,21649,17430,9278,17805,6706,909
338,26,84,48,859528,140434,8689,12450,18588,42690,18759,11009
339,51,97,47,1911678,183668,165511,55377,41171,80435,19997,24679
340,0,97,47,172261,34439,27714,32690,22067,25145,4274,5469
341,51,97,47,1557691,415636,26266,17055,54465,34459,10119,10011
342,26,97,47,2087069,1073162,150127,261862,196416,97532,10077,6012
343,25,97,47,1011371,178088,57034,109515,28420,52585,11042,4779
344,51,97,47,997540,144702,247874,83875,155511,91065,33378,30649
345,51,97,47,1968327,104639,31513,2844,64915,36910,15190,5883
346,51,97,47,102718,52821,4120,4258,8739,3160,1786,2050
347,26,93,38,2096214,1048338,125547,100834,170073,104017,38049,14829
348,0,93,38,1017136,698168,211179,95890,46963,52111,16960,18034
349,26,93,38,614226,10110,2654,17693,21189,16849,3571,551
350,51,93,38,673478,23459,158,6101,5429,4298,1207,197
351,51,93,38,2580595,449828,62163,41033,288437,61904,30005,4285
352,26,80,44,224415,20831,724,11459,17949,21660,3517,1426
355,0,47,40,2267624,30315,8631,7713,5154,5568,3692,1364
364,0,67,4,73472,22806,10280,3140,1442,1424,1704,2253
365,0,61,10,416989,113256,38832,13822,13095,17548,12687,3297
366,0,77,14,2004715,960132,250759,77692,164834,78711,44952,18540
367,0,90,13,2036366,140398,120928,49721,36684,36136,29413,17211
370,0,67,8,571743,168522,14736,5656,44436,4399,3110,2947
370,0,60,30,923900,67642,4455,24528,31637,49143,12167,3345
372,0,60,30,233710,269343,24792,15857,33814,65379,4563,1662
373,26,63,35,1061601,237011,174052,174690,42078,99564,28580,13200
374,0,63,35,66034,107347,13999,49602,51033,56953,24981,10657
375,26,63,35,586536,252647,29369,62544,130701,23676,13381,10433
376,26,63,35,1349499,188641,6420,36370,101914,50053,8378,4411
377,51,63,35,2777666,610318,22419,95190,65767,98365,5051,5209
378,26,63,35,583642,46409,19960,13979,5439,5507,2873,2186
380,51,63,35,894980,37530,17664,25333,11005,13839,4935,2865
381,51,67,53,1632445,317241,28849,53167,224560,84759,24360,9586
382,0,67,53,541332,135356,12317,77161,95993,76851,15556,11478
383,26,67,53,67011,6811,10980,6079,6863,2856,1284,1146
384,51,67,53,1360154,130944,30520,145266,70094,70146,21615,13948
385,51,67,53,1270056,775690,50287,149081,149075,106427,41176,5912
386,51,67,53,2227784,72073,118129,95974,67906,40333,6224,3862
387,26,67,53,124998,21901,3066,14364,4342,7989,1822,801
388,26,67,53,1478990,63138,14436,11484,12726,23197,11532,11106
389,26,67,53,598771,83546,26501,46902,75628,51736,15615,4524
390,51,67,53,925186,130822,53955,34854,20481,9846,5733,2910
391,51,67,53,740792,283059,125351,31678,206457,76278,20643,17752
392,51,67,53,737054,50050,13834,15212,8278,15097,2471,962
393,26,67,53,672595,31638,16103,4676,2391,8009,5632,1337
394,26,84,41,1732746,20717,14642,18810,6433,3362,3324,1634
395,0,94,30,642122,48484,10398,20365,13430,10873,2812,1803
396,0,93,16,1320383,16743,6882,11288,4152,1010,2442,454
397,0,100,7,1608894,565455,41977,91232,24318,33925,16952,12888
398,0,100,7,400416,54941,31244,16092,26539,5697,3831,2735
399,26,100,7,1083456,57894,2932,19997,14126,17983,3017,1345
400,26,91,10,629337,43079,26056,12820,20482,9867,3810,3687
