2019-11-14 04:57:30.247191
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
374,0,74,51,697265,105608,28348,24271,17705,5098,5759,1826
375,0,80,29,900690,79152,4581,26124,5986,2202,1944,2182
376,0,77,8,218460,143282,11674,8966,3124,3866,2087,1442
377,0,64,1,520368,389551,17812,38514,6187,6479,4022,1230
378,0,64,7,406817,17592,5888,16194,29584,6891,1395,1203
379,0,70,21,3117956,80492,87491,32554,37416,33499,13773,2370
380,0,81,24,606372,133680,23401,77093,120058,10636,9639,3280
381,0,91,34,3107635,520638,115739,102370,16490,34151,14764,2666
382,0,94,30,443899,21219,4296,16107,11924,5265,2930,335
383,0,91,16,747886,190451,64841,48484,21875,6533,4579,1316
384,0,83,11,121459,62346,8299,3516,3327,1581,1186,641
385,0,87,4,393939,37969,17125,2874,1607,1061,439,238
386,0,81,1,538988,117511,27368,16444,3356,3377,2001,619
387,0,69,1,504428,314324,30822,17967,2703,5750,1683,1065
388,0,77,1,495065,241468,76956,11333,4329,3075,1678,789
389,0,69,1,666861,233377,17001,44450,2801,5659,2575,797
390,0,77,1,1389073,97602,25072,33034,5172,2094,851,692
391,0,77,1,1206580,129938,6294,8265,9657,8181,3500,1076
392,26,77,1,847916,20631,5896,4398,25145,9879,3529,1046
393,26,77,1,695122,15063,630,2296,19144,13896,3395,1307
394,26,81,13,813129,11208,6893,13141,27655,38531,15935,1371
395,0,81,13,52982,2155,772,336,1512,8741,51,127
396,26,81,13,18053,5063,566,739,1264,7711,91,110
397,26,81,13,39425,4671,117,482,579,7429,54,64
398,26,81,47,2241028,7338,4868,13401,25333,27477,15382,999
399,0,81,47,8567,1761,705,556,1361,7972,63,109
400,26,81,47,18666,505,596,104,1195,6306,96,82
401,26,69,54,1236848,59654,3916,2651,6832,4965,9587,1933
402,0,69,54,886344,4249,2745,1375,6422,12980,1740,389
403,26,69,54,963016,4199,250,2376,9587,25487,879,525
404,26,69,54,1215178,6443,2727,2446,4841,26740,320,426
405,26,69,54,164963,645,336,64,1986,4304,793,84
406,26,53,66,856014,71643,6778,7104,40298,7134,14441,2861
407,0,51,67,1086956,8247,8319,11556,35618,42888,7004,6438
408,0,51,67,802241,95000,27802,14166,7650,28261,10427,11132
409,26,51,41,236564,261258,64001,30916,54001,8137,3630,1248
410,0,74,38,246351,83247,36307,31157,13808,5427,3032,446
411,0,74,38,712557,62151,53270,22339,7132,10515,5471,2463
412,51,74,38,2433852,163582,51590,15496,39502,23594,14843,3790
413,26,74,38,697230,24779,1992,1749,8032,2779,2141,551
414,26,80,30,906749,84415,14052,5248,11412,3195,4052,5061
415,0,90,1,919143,93994,65012,31790,41991,5062,8991,2268
416,0,100,8,834597,60359,56279,18349,30159,8529,23007,3143
417,0,91,17,559316,34313,6849,10567,14698,6445,8280,1317
418,0,91,17,745401,368467,16974,47822,42238,33007,6478,9075
419,51,94,14,1601791,604016,90452,79179,45289,15833,9185,2831
420,0,81,20,670614,81721,4788,12205,14260,5240,4657,1101
421,0,84,23,194337,10541,12725,2389,1305,2076,570,501
422,0,97,17,406414,49495,63037,28216,16071,9404,16209,2586
423,0,91,37,1873644,62889,12802,9014,66531,23425,25829,5314
424,0,100,43,344086,8067,6218,3076,2945,2285,1808,330
425,0,100,43,1290278,27414,43158,6499,13030,7941,8086,5301
426,0,94,43,964080,62651,4983,38617,49574,6399,4669,2800
427,0,94,43,1113218,146085,49409,31000,61790,12838,7411,2558
